2020-12-03T11:52:44+05:30,5,Sensor-2,2021-06-16 15:32:49,2021-06-16 15:32:50
2020-12-03T11:53:43+05:30,6,Sensor-2,2021-06-16 15:32:50,2021-06-16 15:32:51
2020-12-03T11:54:44+05:30,7,Sensor-2,2021-06-16 15:32:51,2021-06-16 15:32:52
2020-12-03T11:55:45+05:30,8,Sensor-2,2021-06-16 15:32:52,2021-06-16 15:32:53
2020-12-03T11:56:43+05:30,9,Sensor-2,2021-06-16 15:32:53,2021-06-16 15:32:54
2020-12-03T11:57:43+05:30,10,Sensor-2,2021-06-16 15:32:54,2021-06-16 15:32:55
2020-12-03T11:58:43+05:30,11,Sensor-2,2021-06-16 15:32:55,2021-06-16 15:32:56
2020-12-03T11:59:43+05:30,12,Sensor-2,2021-06-16 15:32:56,2021-06-16 15:32:57
2020-12-03T12:05:55+05:30,13,Sensor-2,2021-06-16 15:32:57,2021-06-16 15:32:58
2020-12-03T12:09:56+05:30,17,Sensor-2,2021-06-16 15:33:01,2021-06-16 15:33:02
2020-12-03T12:10:57+05:30,18,Sensor-2,2021-06-16 15:33:02,2021-06-16 15:33:03
2020-12-03T12:11:58+05:30,19,Sensor-2,2021-06-16 15:33:03,2021-06-16 15:33:04
2020-12-03T12:12:56+05:30,20,Sensor-2,2021-06-16 15:33:04,2021-06-16 15:33:05
2020-12-03T12:13:56+05:30,21,Sensor-2,2021-06-16 15:33:05,2021-06-16 15:33:06
2020-12-03T12:14:56+05:30,22,Sensor-2,2021-06-16 15:33:06,2021-06-16 15:33:07
2020-12-03T11:52:44+05:30,5,Sensor-2,2021-06-16 15:34:04,2021-06-16 15:34:05
2020-12-03T11:53:43+05:30,6,Sensor-2,2021-06-16 15:34:05,2021-06-16 15:34:05
2020-12-03T11:54:44+05:30,7,Sensor-2,2021-06-16 15:34:06,2021-06-16 15:34:07
2020-12-03T11:55:45+05:30,8,Sensor-2,2021-06-16 15:34:07,2021-06-16 15:34:08
2020-12-03T11:56:43+05:30,9,Sensor-2,2021-06-16 15:34:08,2021-06-16 15:34:08
